,Unnamed: 0,Unnamed: 0.1,location,timestamp,tweet,tiny_tweet,tokens,stems
75950,75950,75950,"[,]",2020-05-11 12:33:18+00:00,@teloresumo Lo q provoca la cuarentena !,provoca cuarentena,"['provoca', 'cuarentena']","['provoc', 'cuarenten']"
75966,75966,75966,"[,]",2020-05-11 12:34:42+00:00,11 de Mayo 2020 Día 53 en cuarentena  #cuarentena #coronavirus,Mayo cuarentena #cuarentena #coronavirus,"['mayo', 'cuarentena', '#cuarentena', '#coronavirus']","['may', 'cuarenten', '#cuarenten', '#coronavirus']"
76301,76301,76301,"[,]",2020-05-11 12:59:08+00:00,que siga la cuarentena nomas,siga cuarentena nomas,"['siga', 'cuarentena', 'nomas']","['sig', 'cuarenten', 'nom']"
76309,76309,76309,"[,]",2020-05-11 13:00:29+00:00,Toda la cuarentena pensando: habrán @horaciorlarreta y @Kicillofok pensado en limpiar el riachuelo?,Toda cuarentena pensando habr pensado limpiar riachuelo,"['toda', 'cuarentena', 'pensando', 'habr', 'pensado', 'limpiar', 'riachuelo']","['tod', 'cuarenten', 'pens', 'habr', 'pens', 'limpi', 'riachuel']"
76342,76342,76342,"[,]",2020-05-11 13:02:49+00:00,@TorroDePucas2 @Aduanazo @plebeyadelnorte La idea de la cuarentena vino de nación. Reventá junto con los radicales así limpiamos el país.,idea cuarentena vino naci Revent junto radicales limpiamos,"['idea', 'cuarentena', 'vino', 'naci', 'revent', 'junto', 'radicales', 'limpiamos']","['ide', 'cuarenten', 'vin', 'naci', 'revent', 'junt', 'radical', 'limpi']"
76399,76399,76399,"[,]",2020-05-11 13:08:27+00:00,Cuarentena día 237531 tome más mate que el Enzo Francescoli en todas sus concentraciones.,Cuarentena tome mate Enzo Francescoli todas concentraciones,"['cuarentena', 'tome', 'mate', 'enzo', 'francescoli', 'todas', 'concentraciones']","['cuarenten', 'tom', 'mat', 'enzo', 'francescoli', 'tod', 'concentr']"
76416,76416,76416,"[,]",2020-05-11 13:09:19+00:00,"@laraa_anahi Y si!!! En situaciones normales podría ser una rps muy corta, hoy en cuarentena algo más completa",situaciones normales podr corta cuarentena algo completa,"['situaciones', 'normales', 'podr', 'corta', 'cuarentena', 'algo', 'completa']","['situacion', 'normal', 'podr', 'cort', 'cuarenten', 'algo', 'complet']"
76532,76532,76532,"[,]",2020-05-11 13:20:17+00:00,Que ganas de pasar la cuarentena con vos.,ganas pasar cuarentena,"['ganas', 'pasar', 'cuarentena']","['gan', 'pas', 'cuarenten']"
76620,76620,76620,"[,]",2020-05-11 13:27:16+00:00,@TinkerLube @RCachanosky Van a estirar la cuarentena todo lo necesario para evitar elecciones y ahí: chau Argentina bienvenida ARGENZUELA!!,estirar cuarentena todo necesario para evitar elecciones chau Argentina bienvenida ARGENZUELA,"['estirar', 'cuarentena', 'todo', 'necesario', 'para', 'evitar', 'elecciones', 'chau', 'argentina', 'bienvenida', 'argenzuela']","['estir', 'cuarenten', 'tod', 'necesari', 'par', 'evit', 'eleccion', 'chau', 'argentin', 'bienven', 'argenzuel']"
76629,76629,76629,"[,]",2020-05-11 13:27:50+00:00,Caos en Cuarentena ⚠️,Caos Cuarentena,"['caos', 'cuarentena']","['caos', 'cuarenten']"
76634,76634,76634,"[,]",2020-05-11 13:28:07+00:00,"Me gano la cuarentena, ya me cansé de la rutina. Un buen humor tengo 🤦🏽‍♂️",gano cuarentena cans rutina buen humor tengo,"['gano', 'cuarentena', 'cans', 'rutina', 'buen', 'humor', 'tengo']","['gan', 'cuarenten', 'cans', 'rutin', 'buen', 'humor', 'teng']"
76700,76700,76700,"[,]",2020-05-11 13:31:40+00:00,"@tanoproductor Desde Caballito,capital de mi importa un carajo la cuarentena.#HabraConsecuencias.",Desde Caballito capital importa carajo cuarentena #HabraConsecuencias,"['desde', 'caballito', 'capital', 'importa', 'carajo', 'cuarentena', '#habraconsecuencias']","['desd', 'caballit', 'capital', 'import', 'caraj', 'cuarenten', '#habraconsecuent']"
76704,76704,76704,"[,]",2020-05-11 13:31:53+00:00,@Angelmatematic2 @futbolizar @plebeyadelnorte @FrenteDeTodos El que impuso una cuarentena obligatoria fue el ejecutivo. Salu3,impuso cuarentena obligatoria ejecutivo Salu,"['impuso', 'cuarentena', 'obligatoria', 'ejecutivo', 'salu']","['impus', 'cuarenten', 'obligatori', 'ejecut', 'salu']"
76717,76717,76717,"[,]",2020-05-11 13:32:25+00:00,@nicolenia @Flotus_uno @atlanticsurff Entonces para q hacemos cuarentena . Otro verso de Alverso!!!! Peronia a full,Entonces para hacemos cuarentena Otro verso Alverso Peronia full,"['entonces', 'para', 'hacemos', 'cuarentena', 'otro', 'verso', 'alverso', 'peronia', 'full']","['entonc', 'par', 'hac', 'cuarenten', 'otro', 'vers', 'alvers', 'peroni', 'full']"
76745,76745,76745,"[,]",2020-05-11 13:33:53+00:00,A quien se le ocurre poner una reunión un lunes a las 10 de la mañana... En cuarentena 🤦🏻‍♂️,quien ocurre poner reuni lunes cuarentena,"['quien', 'ocurre', 'poner', 'reuni', 'lunes', 'cuarentena']","['qui', 'ocurr', 'pon', 'reuni', 'lun', 'cuarenten']"
76917,76917,76917,"[,]",2020-05-11 13:45:34+00:00,Está cuarentena me pegó para ver casi angeles 👀 Y ya terminé la primer temporada 👀,cuarentena para casi angeles termin primer temporada,"['cuarentena', 'para', 'casi', 'angeles', 'termin', 'primer', 'temporada']","['cuarenten', 'par', 'casi', 'angel', 'termin', 'prim', 'tempor']"
